image_id,PDBid,image,Label_D1,Label_N2,Label_S2,Model2,time
1,2950,M0776_S00470_W1_F0_1006.jpg,"NA",Syngamy,"NA",Syngamy,1006
2,2950,M0776_S00470_W1_F0_1026.jpg,"NA",Syngamy,"NA",Syngamy,1026
3,2950,M0776_S00470_W1_F0_1046.jpg,"NA",Syngamy,"NA",Syngamy,1046
4,2950,M0776_S00470_W1_F0_106.jpg,"NA",Syngamy,"NA",Syngamy,106
5,2950,M0776_S00470_W1_F0_1066.jpg,"NA",Syngamy,"NA",Syngamy,1066
6,2950,M0776_S00470_W1_F0_1086.jpg,"NA",Syngamy,"NA",Syngamy,1086
7,2950,M0776_S00470_W1_F0_1106.jpg,"NA",Syngamy,"NA",Syngamy,1106
8,2950,M0776_S00470_W1_F0_1126.jpg,"NA",Syngamy,"NA",Syngamy,1126
9,2950,M0776_S00470_W1_F0_1146.jpg,"NA",Syngamy,"NA",Syngamy,1146
10,2950,M0776_S00470_W1_F0_1166.jpg,"NA",Syngamy,"NA",Syngamy,1166
11,2950,M0776_S00470_W1_F0_1186.jpg,"NA",Syngamy,"NA",Syngamy,1186
12,2950,M0776_S00470_W1_F0_1206.jpg,"NA",Syngamy,"NA",Syngamy,1206
13,2950,M0776_S00470_W1_F0_1226.jpg,"NA",Syngamy,"NA",Syngamy,1226
14,2950,M0776_S00470_W1_F0_1249.jpg,"NA",Syngamy,"NA",Syngamy,1249
15,2950,M0776_S00470_W1_F0_126.jpg,"NA",Syngamy,"NA",Syngamy,126
16,2950,M0776_S00470_W1_F0_1269.jpg,"NA",Syngamy,"NA",Syngamy,1269
17,2950,M0776_S00470_W1_F0_1289.jpg,"NA",Syngamy,"NA",Syngamy,1289
18,2950,M0776_S00470_W1_F0_1309.jpg,"NA",Syngamy,"NA",Syngamy,1309
19,2950,M0776_S00470_W1_F0_1329.jpg,"NA",Syngamy,"NA",Syngamy,1329
20,2950,M0776_S00470_W1_F0_1359.jpg,"NA",Syngamy,"NA",Syngamy,1359
21,2950,M0776_S00470_W1_F0_1380.jpg,"NA",Syngamy,"NA",Syngamy,1380
22,2950,M0776_S00470_W1_F0_1400.jpg,"NA",Syngamy,"NA",Syngamy,1400
23,2950,M0776_S00470_W1_F0_1430.jpg,"NA",Syngamy,"NA",Syngamy,1430
24,2950,M0776_S00470_W1_F0_1450.jpg,"NA",Syngamy,"NA",Syngamy,1450
25,2950,M0776_S00470_W1_F0_146.jpg,"NA",Syngamy,"NA",Syngamy,146
26,2950,M0776_S00470_W1_F0_1470.jpg,"NA",Syngamy,"NA",Syngamy,1470
27,2950,M0776_S00470_W1_F0_1490.jpg,"NA",Syngamy,"NA",Syngamy,1490
28,2950,M0776_S00470_W1_F0_1510.jpg,"NA",Syngamy,"NA",Syngamy,1510
29,2950,M0776_S00470_W1_F0_1530.jpg,"NA",Syngamy,"NA",Syngamy,1530
30,2950,M0776_S00470_W1_F0_1550.jpg,"NA",Syngamy,"NA",Syngamy,1550
31,2950,M0776_S00470_W1_F0_1570.jpg,"NA",Syngamy,"NA",Syngamy,1570
32,2950,M0776_S00470_W1_F0_1590.jpg,"NA",Syngamy,"NA",Syngamy,1590
33,2950,M0776_S00470_W1_F0_1610.jpg,"NA",Syngamy,"NA",Syngamy,1610
34,2950,M0776_S00470_W1_F0_1632.jpg,"NA",Syngamy,"NA",Syngamy,1632
35,2950,M0776_S00470_W1_F0_1653.jpg,"NA",Syngamy,"NA",Syngamy,1653
36,2950,M0776_S00470_W1_F0_166.jpg,"NA",Syngamy,"NA",Syngamy,166
37,2950,M0776_S00470_W1_F0_1673.jpg,"NA",Syngamy,"NA",Syngamy,1673
38,2950,M0776_S00470_W1_F0_1703.jpg,"NA",Syngamy,"NA",Syngamy,1703
39,2950,M0776_S00470_W1_F0_1723.jpg,"NA",Syngamy,"NA",Syngamy,1723
40,2950,M0776_S00470_W1_F0_1743.jpg,"NA",Syngamy,"NA",Syngamy,1743
41,2950,M0776_S00470_W1_F0_1763.jpg,"NA",Syngamy,"NA",Syngamy,1763
42,2950,M0776_S00470_W1_F0_1783.jpg,"NA",Syngamy,"NA",Syngamy,1783
43,2950,M0776_S00470_W1_F0_1813.jpg,"NA",Syngamy,"NA",Syngamy,1813
44,2950,M0776_S00470_W1_F0_1833.jpg,"NA",Syngamy,"NA",Syngamy,1833
45,2950,M0776_S00470_W1_F0_1854.jpg,"NA",Syngamy,"NA",Syngamy,1854
46,2950,M0776_S00470_W1_F0_186.jpg,"NA",Syngamy,"NA",Syngamy,186
47,2950,M0776_S00470_W1_F0_1874.jpg,"NA",Syngamy,"NA",Syngamy,1874
48,2950,M0776_S00470_W1_F0_1894.jpg,"NA",Syngamy,"NA",Syngamy,1894
49,2950,M0776_S00470_W1_F0_1914.jpg,"NA",Syngamy,"NA",Syngamy,1914
50,2950,M0776_S00470_W1_F0_1934.jpg,"NA",Syngamy,"NA",Syngamy,1934
51,2950,M0776_S00470_W1_F0_1954.jpg,"NA",Syngamy,"NA",Syngamy,1954
52,2950,M0776_S00470_W1_F0_1974.jpg,"NA",Syngamy,"NA",Syngamy,1974
53,2950,M0776_S00470_W1_F0_1994.jpg,"NA",Syngamy,"NA",Syngamy,1994
54,2950,M0776_S00470_W1_F0_2014.jpg,"NA",Syngamy,"NA",Syngamy,2014
55,2950,M0776_S00470_W1_F0_2044.jpg,"NA",Syngamy,"NA",Syngamy,2044
56,2950,M0776_S00470_W1_F0_206.jpg,"NA",Syngamy,"NA",Syngamy,206
57,2950,M0776_S00470_W1_F0_2064.jpg,"NA",Syngamy,"NA",Syngamy,2064
58,2950,M0776_S00470_W1_F0_2084.jpg,"NA",Syngamy,"NA",Syngamy,2084
59,2950,M0776_S00470_W1_F0_2114.jpg,"NA",Syngamy,"NA",Syngamy,2114
60,2950,M0776_S00470_W1_F0_2134.jpg,"NA",Syngamy,"NA",Syngamy,2134
61,2950,M0776_S00470_W1_F0_2154.jpg,"NA",Syngamy,"NA",Syngamy,2154
62,2950,M0776_S00470_W1_F0_2174.jpg,"NA",Syngamy,"NA",Syngamy,2174
